ID,Sample,Label,Predicted
123,41,gender,1
124,41,age,0
125,41,health,1
126,42,gender,0
127,42,age,0
128,42,health,0
129,43,gender,1
130,43,age,1
131,43,health,1
132,44,gender,1
133,44,age,0
134,44,health,1
135,45,gender,1
136,45,age,0
137,45,health,1
138,46,gender,1
139,46,age,1
140,46,health,1
141,47,gender,0
142,47,age,1
143,47,health,1
144,48,gender,0
145,48,age,1
146,48,health,1
147,49,gender,1
148,49,age,0
149,49,health,1
150,50,gender,1
151,50,age,1
152,50,health,1
153,51,gender,1
154,51,age,0
155,51,health,0
156,52,gender,1
157,52,age,1
158,52,health,1
159,53,gender,1
160,53,age,1
161,53,health,1
162,54,gender,1
163,54,age,1
164,54,health,1
165,55,gender,0
166,55,age,0
167,55,health,0
168,56,gender,1
169,56,age,0
170,56,health,1
171,57,gender,1
172,57,age,0
173,57,health,0
174,58,gender,1
175,58,age,1
176,58,health,1
177,59,gender,1
178,59,age,1
179,59,health,1
180,60,gender,1
181,60,age,0
182,60,health,1
183,61,gender,1
184,61,age,0
185,61,health,0
186,62,gender,1
187,62,age,1
188,62,health,1
189,63,gender,1
190,63,age,0
191,63,health,1
192,64,gender,1
193,64,age,1
194,64,health,1
195,65,gender,1
196,65,age,1
197,65,health,1
198,66,gender,0
199,66,age,1
200,66,health,1
201,67,gender,1
202,67,age,1
203,67,health,1
204,68,gender,1
205,68,age,0
206,68,health,0
207,69,gender,1
208,69,age,0
209,69,health,0
210,70,gender,1
211,70,age,0
212,70,health,0
213,71,gender,0
214,71,age,0
215,71,health,0
216,72,gender,0
217,72,age,1
218,72,health,1
219,73,gender,0
220,73,age,1
221,73,health,1
222,74,gender,0
223,74,age,0
224,74,health,0
225,75,gender,1
226,75,age,0
227,75,health,1
228,76,gender,1
229,76,age,1
230,76,health,1
231,77,gender,1
232,77,age,0
233,77,health,1
234,78,gender,1
235,78,age,0
236,78,health,1
237,79,gender,1
238,79,age,1
239,79,health,1
240,80,gender,1
241,80,age,0
242,80,health,1
243,81,gender,1
244,81,age,0
245,81,health,0
246,82,gender,1
247,82,age,0
248,82,health,0
249,83,gender,0
250,83,age,1
251,83,health,1
252,84,gender,1
253,84,age,1
254,84,health,1
255,85,gender,1
256,85,age,0
257,85,health,0
258,86,gender,0
259,86,age,1
260,86,health,1
261,87,gender,1
262,87,age,1
263,87,health,1
264,88,gender,1
265,88,age,1
266,88,health,1
267,89,gender,1
268,89,age,0
269,89,health,0
270,90,gender,0
271,90,age,1
272,90,health,1
273,91,gender,1
274,91,age,0
275,91,health,1
276,92,gender,1
277,92,age,1
278,92,health,1
279,93,gender,0
280,93,age,1
281,93,health,1
282,94,gender,1
283,94,age,0
284,94,health,1
285,95,gender,0
286,95,age,0
287,95,health,0
288,96,gender,1
289,96,age,0
290,96,health,1
291,97,gender,1
292,97,age,0
293,97,health,0
294,98,gender,1
295,98,age,0
296,98,health,1
297,99,gender,1
298,99,age,1
299,99,health,1
300,100,gender,1
301,100,age,1
302,100,health,1
303,101,gender,1
304,101,age,1
305,101,health,1
306,102,gender,1
307,102,age,1
308,102,health,1
309,103,gender,0
310,103,age,0
311,103,health,0
312,104,gender,1
313,104,age,1
314,104,health,1
315,105,gender,1
316,105,age,1
317,105,health,1
318,106,gender,1
319,106,age,0
320,106,health,0
321,107,gender,1
322,107,age,1
323,107,health,1
324,108,gender,1
325,108,age,1
326,108,health,1
327,109,gender,1
328,109,age,0
329,109,health,1
330,110,gender,1
331,110,age,1
332,110,health,1
333,111,gender,1
334,111,age,1
335,111,health,1
336,112,gender,0
337,112,age,1
338,112,health,1
339,113,gender,1
340,113,age,0
341,113,health,1
342,114,gender,1
343,114,age,0
344,114,health,0
345,115,gender,0
346,115,age,1
347,115,health,1
348,116,gender,1
349,116,age,0
350,116,health,0
351,117,gender,1
352,117,age,0
353,117,health,1
354,118,gender,1
355,118,age,1
356,118,health,1
357,119,gender,0
358,119,age,1
359,119,health,1
360,120,gender,1
361,120,age,1
362,120,health,1
363,121,gender,0
364,121,age,1
365,121,health,1
366,122,gender,1
367,122,age,1
368,122,health,1
369,123,gender,0
370,123,age,1
371,123,health,1
372,124,gender,1
373,124,age,0
374,124,health,1
375,125,gender,0
376,125,age,1
377,125,health,1
378,126,gender,1
379,126,age,1
380,126,health,1
381,127,gender,1
382,127,age,1
383,127,health,1
384,128,gender,0
385,128,age,1
386,128,health,1
387,129,gender,1
388,129,age,0
389,129,health,0
390,130,gender,1
391,130,age,1
392,130,health,1
393,131,gender,1
394,131,age,1
395,131,health,1
396,132,gender,0
397,132,age,1
398,132,health,1
399,133,gender,1
400,133,age,1
401,133,health,1
402,134,gender,0
403,134,age,1
404,134,health,1
405,135,gender,0
406,135,age,1
407,135,health,1
408,136,gender,1
409,136,age,0
410,136,health,0
411,137,gender,0
412,137,age,0
413,137,health,0
